OBJECTID,KHETNAME,KHETCODE,SROKCODE,KHUMCODE,KHUMNAME,SROKNAME,Perimet,Area,Ha,headwork,history,health,irripro,pagoda,school,canal,building,FAM19,MAL19,FEM19,FAM17,MAL17,FEM17,vilage_n,settel_h,orchard,crop,paddy_h,urban_h,srok,khum,khet,para,area_1,hect,lat,long,lat1,long1
"1373",Siemreap,"17","1709","170908",Roluos,Prasat Bakong,23513.340002,20717610.310000,2071.761031,1.000000,0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,909.660000,28.870000,Prasat Bakong,Roluos,Siemreap,23513.340,20717610.310,2071.761,13.313000,103.9790,13.890,103.640
"1374",Siemreap,"17","1704","170410",Ruessei Lok,Chi Kraeng,54778.547104,113673226.552000,11367.322655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2068.000000,4454.000000,4481.000000,2083.000000,4529.000000,4645.000000,5.000000,284.800000,0.000000,2.280000,2134.670000,26.460000,Chi Kraeng,Ruessei Lok,Siemreap,54778.547,113673226.552,11367.323,13.254000,104.2260,13.890,103.640
"1377",Battambang,"02","0202","020201",Ta Pung,Thma Koul,62608.582642,107847239.267000,10784.723927,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.550000,30.000000,3512.000000,9113.000000,9087.000000,3510.000000,8132.000000,8242.000000,7.000000,524.390000,0.000000,0.000000,2801.020000,8.550000,Thma Koul,Ta Pung,Battambang,62608.583,107847239.267,10784.724,13.272000,103.1840,13.360,102.870
"1378",Battambang,"02","0205","020507",Kaoh Chiveang,Aek Phnum,95660.077508,446079751.776000,44607.975178,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,0.000000,0.000000,1855.000000,5476.000000,5348.000000,1859.000000,5030.000000,5243.000000,4.000000,0.000000,0.000000,0.000000,0.000000,13.740000,Aek Phnum,Kaoh Chiveang,Battambang,95660.078,446079751.776,44607.975,13.219000,103.5920,13.360,102.870
"1379",Siemreap,"17","1710","171006",Chreav,Siem Reab,39309.637357,65776007.093400,6577.600709,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,138.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1438.140000,0.000000,Siem Reab,Chreav,Siemreap,39309.637,65776007.093,6577.601,13.286000,103.8870,13.890,103.640
"1381",Battambang,"02","0202","020210",Rung Chrey,Thma Koul,51436.949227,72085234.153600,7208.523415,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.950000,161.000000,3418.000000,7840.000000,7548.000000,3331.000000,7723.000000,8043.000000,8.000000,653.700000,0.000000,0.000000,3334.750000,74.140000,Thma Koul,Rung Chrey,Battambang,51436.949,72085234.154,7208.523,13.264000,102.9910,13.360,102.870
"1383",Siemreap,"17","1710","171008",Sambuor,Siem Reab,30863.864814,27119450.329400,2711.945033,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2255.250000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,785.640000,0.000000,Siem Reab,Sambuor,Siemreap,30863.865,27119450.329,2711.945,13.436000,103.4430,13.890,103.640
"1384",Siemreap,"17","1709","170906",Kandaek,Prasat Bakong,45867.959319,75446224.144100,7544.622414,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,38.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1579.180000,22.530000,Prasat Bakong,Kandaek,Siemreap,45867.959,75446224.144,7544.622,13.302000,103.9300,13.890,103.640
"1385",Battambang,"02","0202","020202",Ta Meun,Thma Koul,56229.041534,119123817.199000,11912.381720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.500000,7.000000,2704.000000,6552.000000,5768.000000,2560.000000,5970.000000,6279.000000,7.000000,606.910000,0.000000,0.000000,4184.820000,1.910000,Thma Koul,Ta Meun,Battambang,56229.042,119123817.199,11912.382,13.315000,103.1640,13.360,102.870
"1387",Battambang,"02","0204","020405",Ampil Pram Daeum,Bavel,61221.564966,187772799.493000,18777.279949,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,240.340000,535.000000,1978.000000,4036.000000,4203.000000,2151.000000,3808.000000,3940.000000,8.000000,237.670000,22.760000,32.020000,7719.760000,38.280000,Bavel,Ampil Pram Daeum,Battambang,61221.565,187772799.493,18777.280,13.283000,102.7620,13.360,102.870
